Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
2.231655e-01  12.786442  2.213005e-01  7.346324e-02  -11.339299
2.247371e-01  12.876487  2.228327e-01  7.448404e-02  -11.279368
2.263087e-01  12.966532  2.243644e-01  7.551152e-02  -11.219868
2.278803e-01  13.056577  2.258955e-01  7.654566e-02  -11.160794
2.294518e-01  13.146622  2.274261e-01  7.758645e-02  -11.102141
2.310234e-01  13.236667  2.289561e-01  7.863388e-02  -11.043903
2.325950e-01  13.326712  2.304855e-01  7.968795e-02  -10.986073
2.341666e-01  13.416757  2.320144e-01  8.074864e-02  -10.928648
2.357382e-01  13.506802  2.335427e-01  8.181594e-02  -10.871621
2.373097e-01  13.596847  2.350704e-01  8.288984e-02  -10.814987
2.388813e-01  13.686892  2.365976e-01  8.397033e-02  -10.758742
2.404529e-01  13.776937  2.381241e-01  8.505740e-02  -10.702879
2.420245e-01  13.866982  2.396501e-01  8.615104e-02  -10.647395
2.435961e-01  13.957027  2.411755e-01  8.725123e-02  -10.592284
2.451677e-01  14.047072  2.427003e-01  8.835797e-02  -10.537542
2.467392e-01  14.137117  2.442244e-01  8.947125e-02  -10.483165
2.483108e-01  14.227162  2.457480e-01  9.059106e-02  -10.429147
2.498824e-01  14.317207  2.472710e-01  9.171738e-02  -10.375484
2.514540e-01  14.407252  2.487934e-01  9.285020e-02  -10.322172
2.530256e-01  14.497297  2.503151e-01  9.398951e-02  -10.269206
2.545971e-01  14.587342  2.518362e-01  9.513530e-02  -10.216583
2.561687e-01  14.677387  2.533567e-01  9.628757e-02  -10.164298
2.577403e-01  14.767432  2.548766e-01  9.744629e-02  -10.112347
2.593119e-01  14.857477  2.563959e-01  9.861145e-02  -10.060726
2.608835e-01  14.947522  2.579145e-01  9.978306e-02  -10.009432
2.624550e-01  15.037566  2.594325e-01  1.009611e-01  -9.958460
2.640266e-01  15.127611  2.609498e-01  1.021455e-01  -9.907807
2.655982e-01  15.217656  2.624665e-01  1.033364e-01  -9.857469
2.671698e-01  15.307701  2.639826e-01  1.045336e-01  -9.807442
2.687414e-01  15.397746  2.654980e-01  1.057372e-01  -9.757723
2.703130e-01  15.487791  2.670127e-01  1.069471e-01  -9.708308
2.718845e-01  15.577836  2.685268e-01  1.081635e-01  -9.659194
2.734561e-01  15.667881  2.700402e-01  1.093861e-01  -9.610378
2.750277e-01  15.757926  2.715530e-01  1.106151e-01  -9.561856
2.765993e-01  15.847971  2.730651e-01  1.118504e-01  -9.513624
2.781709e-01  15.938016  2.745765e-01  1.130920e-01  -9.465680
2.797424e-01  16.028061  2.760872e-01  1.143399e-01  -9.418021
2.813140e-01  16.118106  2.775973e-01  1.155941e-01  -9.370643
2.828856e-01  16.208151  2.791066e-01  1.168545e-01  -9.323544
2.844572e-01  16.298196  2.806153e-01  1.181212e-01  -9.276720
2.860288e-01  16.388241  2.821233e-01  1.193942e-01  -9.230168
2.876003e-01  16.478286  2.836306e-01  1.206734e-01  -9.183886
2.891719e-01  16.568331  2.851372e-01  1.219587e-01  -9.137870
2.907435e-01  16.658376  2.866431e-01  1.232503e-01  -9.092119
2.923151e-01  16.748421  2.881482e-01  1.245481e-01  -9.046628
2.938867e-01  16.838466  2.896527e-01  1.258521e-01  -9.001396
2.954583e-01  16.928511  2.911564e-01  1.271622e-01  -8.956419
2.970298e-01  17.018556  2.926595e-01  1.284785e-01  -8.911695
2.986014e-01  17.108601  2.941618e-01  1.298009e-01  -8.867222
3.001730e-01  17.198646  2.956634e-01  1.311295e-01  -8.822997
3.017446e-01  17.288691  2.971642e-01  1.324641e-01  -8.779017
3.033162e-01  17.378736  2.986643e-01  1.338049e-01  -8.735280
3.048877e-01  17.468781  3.001637e-01  1.351518e-01  -8.691783
3.064593e-01  17.558826  3.016624e-01  1.365047e-01  -8.648525
3.080309e-01  17.648870  3.031603e-01  1.378637e-01  -8.605502
3.096025e-01  17.738915  3.046574e-01  1.392287e-01  -8.562713
3.111741e-01  17.828960  3.061538e-01  1.405998e-01  -8.520154
3.127456e-01  17.919005  3.076494e-01  1.419768e-01  -8.477825
3.143172e-01  18.009050  3.091443e-01  1.433599e-01  -8.435722
3.158888e-01  18.099095  3.106384e-01  1.447490e-01  -8.393844
3.174604e-01  18.189140  3.121318e-01  1.461441e-01  -8.352187
3.190320e-01  18.279185  3.136244e-01  1.475451e-01  -8.310751
3.206035e-01  18.369230  3.151162e-01  1.489521e-01  -8.269534
3.221751e-01  18.459275  3.166072e-01  1.503650e-01  -8.228532
3.237467e-01  18.549320  3.180974e-01  1.517839e-01  -8.187744
3.253183e-01  18.639365  3.195869e-01  1.532086e-01  -8.147168
3.268899e-01  18.729410  3.210756e-01  1.546393e-01  -8.106802
3.284615e-01  18.819455  3.225634e-01  1.560758e-01  -8.066644
3.300330e-01  18.909500  3.240505e-01  1.575182e-01  -8.026693
3.316046e-01  18.999545  3.255368e-01  1.589665e-01  -7.986945
3.331762e-01  19.089590  3.270223e-01  1.604205e-01  -7.947400
3.347478e-01  19.179635  3.285070e-01  1.618805e-01  -7.908056
3.363194e-01  19.269680  3.299908e-01  1.633462e-01  -7.868910
